question;categorie;niveau;reponse;reponseA;reponseB;reponseC;reponseD;commentaire
La mer est _____ . ;adjectif;A1;bleue;bleu;bleue;bleus;Bleues;adjectif qualificatif
Tu t’appelles comment ? ;verbe;A1;Je m’appelle Marie.;Je t’appelles Marie.;Tu t’appelles Marie. ;Je t’appelle Marie.;Je m’appelle Marie.;verbes pronominaux
Il habite _____ Canada.;préposition;A1;au;au;en;aux;à la;préposition de lieu
Vous êtes boulanger ?;verbe;A1;Non, je ne suis pas boulanger.;Non, Je ne suis boulanger.;Non, je ne suis pas boulanger.;Non, je n’est pas boulanger.;Non, Je n’est boulanger.;négation du verbe 
Vous avez quel âge ? ;verbe;A1;J’ai 20 ans.;Je suis 20 ans.;Vous suis 20 ans.;J’ai 20 ans.;Vous ai 20 ans.;verbe avoir 
Cochez la bonne phrase. ;verbe;A1;Nous adorons le printemps.;Nous adorons le printemps.;J’adores le printemps.;Tu adorez le printemps.;Il adorent le printemps.;verbes en “er”
Ils _____ français.;verbe;A1;sont;sont;sommes;es;est;verbe être
_____ étudie à la bibliothèque.;pronom;A1;J’;Je ;J’;Tu;T’;pronom sujet
Son fils mange _____ chocolat.;article;A1;du;de l’;de la;des;du;article partitif
Sarah est Max viennent des États-Unis ? ;adjectif;A1;Oui, ils sont américains.;Oui, ils sont américain.;Oui, ils sont américaine.;Oui, ils sont américains.;Oui, ils sont américaines.;adjectif qualificatif
Le chat de la voisine est noir ? ;adjectif;A1;Non, son chat est blanc.;Non, mon chat est blanc. ;Non, son chat est blanc.;Non, ton chat est blanc.;Non, sa chat est blanc.;adjectif possessif
_____ soir, nous allons au cinéma.;adjectif;A1;Ce;Ce;Cet;Cette;Ces;adjectif démonstratif
Il _____ passer son test.;verbe;A1;doit;doit;devons;dovent;Devez;verbe devoir
Nous _____ le bus pour aller à l’université.;verbe;A1;prenons;prendre;prend;prenons;Prends;verbe prendre
Vous _____ votre numéro hier ? ;verbe;A1;avez changé;avez changer;avez changé;avoir change;avoir changé;passé composé
À New York, il y a _____ gratte-ciel _____ à Paris.;nom;A2;plus de, qu’;plus, que;plus de, que;plus de, qu’;plus, qu’;comparatif de quantité 
Vous vous lavez les cheveux _____ jour.;adjectif;A2;chaque;tous;tout;chaque;chaques;adjectif indéfini
Nous _____ des employés.;verbe;A2;engageons;engajons;engageons;engagons;engajeons;verbes en “er”
_____ je fais du sport, je dors mieux. ;adverbe;A2;Depuis que;Depuis que;Il y a ;Pendant;Ça fait;adverbes de durée 
Cet enfant est bruyant, il joue _____.;adverbe;A2;bruyamment;bruyemment;bruyentment;bruyentement;bruyamment;adverbe de manière
Vous avez une carte de crédit ? ;pronom;A2;Oui, j’en ai une.;Oui, j’en ai un.;Oui, j’en ai une.;Oui, j’y ai un.;Oui, j’y ai une. ;pronom en
Ne cours pas _____ vite. ;adverbe;A2;aussi;aussi de;aussi;autant de;autant;comparatif de l’adverbe
C’est l’automne, les feuilles _____ . ;verbe;A2;jaunissent;jaunie;jaunient;jaunisse;jaunissent;verbes en “ir” 
_____ nous, il y a un espion. ;préposition;A2;Parmi ;Parmi ;Entre ;Sans;Environ ;complément circonstanciel de lieu 
" Vous connaissez Martine ? 
Oui, je _____ depuis quinze ans. ";pronom;A2;la connais;le connais;la connais;lui connais;leur connais;pronom COD
Ils _____ écrivent toujours en français. ;pronom;A2;leur;l';le;la;leur;pronom COI 
Anne _____ toujours en noir.;verbe;A2;s'habille;se habille;s'habille;se habiller;s'habiller;verbes pronominaux
Je souhaite _____ partir en vacances.;verbe;A2;partir;pars;est parti;partira;partir;infinitif
J'ai besoin d'un dictionnaire.;verbe;A2;donne-moi un dictionnaire s'il te plaît. ;donne-moi un dictionnaire s'il te plaît. ;donnes-moi un dictionnaire s'il te plaît. ;donner-moi un dictionnaire s'il te plaît. ;donna-moi un dictionnaire s'il te plaît. ;impératif
La femme _____ passe porte une robe _____ brille.;pronom;A2;qui, qui;que, qui;que, que;qui, que;qui, qui;pronom relatif simple
C'est la société _____ je suis le directeur. ;pronom;A2;dont;que ;qui;dont;où;pronom relatif simple
C’est ma ______ visite à Paris.;adjectif;A2;deuxième;deuxiem;deuxième;secondiem;secondième;adjectif ordinaire
Je n'ai _____ ami en France.;verbe;A2;aucun;pas;rien;plus;aucun;négation du verbe 
Vite : le train _____ !;verbe;A2;va partir;pars;partira;va partir;partir;futur proche
À cette époque-là, j'_____ les cheveux longs.;verbe;A2;avais;ai;ai eu;avais;avait;imparfait
Une loi _____.;verbe;B1;est votée;a voté;est votée;avait voté;avait eu votée;passif
Quand les pompiers sont arrivés, la maison _____.;verbe;B1;avait brûlé;brûle;a brûlé;avait brûlé;est brûlé;plus-que-parfait
Il m'a dit qu'il _____ allemand.;verbe;B1;était;est;sera;était;a;discours indirect
En 2025, nous _____ sur Mars.;verbe;B1;habiterons;habitons;habitions;avions habité;habiterons;futur simple
Imagine ! Je _____ une sirène dans l'océan. ;verbe;B1;serais;suis;serai;serais;sois;conditonnel présent
Demain, si je _____ tôt, je _____ chez toi.;verbe;B1;sors, passerai;sors, passe;suis sorti, passe;sors, passerai;suis sorti, suis passé;phrase de l'hypothèse 
Il _____ faire du piano mais il n'a plus de temps. ;verbe;B1;aurait aimé;a aimé;aimait ;avait aimé;aurait aimé;conditionnel passé
Il faut que tu _____ en avance.;verbe;B1;sois;es;seras;sois;serais;subjonctif présent 
J'adore cette maison, mais j'aime bien aussi _____, à droite, la bleue.;pronom;B1;celle-là;celui;celle-là;celle;celle-ci;pronom démonstratif
C'est Annie qui écrit _____.;adverbe;B1;le mieux;mieux;le mieux;meilleur;le meilleur;superlatif
Je _____ _____ intéresse.;pronom;B1;m'y;me l';me lui;m'en;m'y;double pronom 
Il y a quelqu'un dans le bureau? ;verbe;B1;Non, il n'y a personne.;Non, il n'y a rien.;Non, il n'y a personne.;Non, il n'y a aucun.;Non, il n'y a quelqu'un.;Négation du verbe 
______ la porte, il a réveillé tout le monde.;verbe;B1;Fermant;Fermant;Fermer;Fermé;se ferme;participe présent
Choisissez la bonne réponse: Ni lui, ni sa sœur n’avaient e...;verbe;B1;Ni lui, ni sa sœur n’avaient envie de faire ce voyage.;Ni lui, ni sa sœur avaient envie de faire ce voyage.;Ni lui, ni sa sœur n’auraient envie de faire ce voyage.;Ni lui, ni sa sœur n’avaient envie de faire ce voyage.;Ni lui, ni sa sœur ne avait envie de faire ce voyage.;Négation du verbe 
La route est bloquée, ______ nous allons arriver en retard.;adverbe;B1;donc;car;parce que;comme;donc;adverbe de conséquence
Il a appris le français ______ des films.;verbe;B1;en regardant;regardant;regarder;en regardant;avec regarder;gérondif
Bien qu’il ______ malade, il est venu;verbe;B1;soit;est;soit;était;serait;subjonctif présent 
Elles sont ______ très tôt ce matin.;verbe;B1;parties;parti;partie;partis;parties;accord du participe passé 
Ils partiront _____ ils seront prêts.;adverbe;B1;dès qu';Depuis qu';du fait qu';dès qu';quand qu';adverbe du temps
Il me demande _____ je peux l’aider demain.;conjonction;B1;si;de;à;si;en;expression de la conséquence
Nous avons discuté longtemps, ______ nous n’avons rien décidé.;adverbe;B1;pourtant;car;comme;grâce à;pourtant;adverbe d'opposition 
Elle a acheté une robe et elle l’a ______ à sa mère.;verbe;B1;donnée;donné;donnée;donnés;données;accord du participe passé 
Si tu étudiais davantage, tu ______ de meilleurs résultats.;verbe;B1;aurais;as;avais;auras;aurais;phrase de l'hypothèse 
"Je l’ai rencontré hier ; ______, il m’a écrit un message.";nom;B1;le lendemain;lendemain;le lendemain;domain;le domain;complément circonstentiel du temps
Le musée se trouve juste ______ la place centrale, à côté de l’arrêt de tram.;préposition;B1;en face de;sous;en face de;au-dessous de ;derrière;préposition de lieu
Quand j'_____, je sortirai.;verbe;B2;aurai dîné;a dîné;avais dîné;serai dîné;aurai dîné;futur antérieur
Quel est le cadeau _____ tu as pensé ?;pronom;B2;auquel;duquel;de laquelle;auquel;à laquelle;pronom relatif composé
Choisissez la bonne réponse: Elle voudrait que tu ailles l'...;verbe;B2;Elle voudrait que tu ailles l'attendre.;Elle veut que tu vas l'attendre.;Elle voudrait que tu vas l'attendre.;Elle voudrait que tu ailles l'attendre.;Elle voudrait que tu l'attendre.;subjonctif présent 
